Scenario,Model,threshold,n_flagged,pct_flagged,sensitivity,sens_ci_low,sens_ci_high,specificity,spec_ci_low,spec_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,tp,fp,fn,tn,is_youden
With Symptoms,Neural Network,0.4,559,9.893805309734512,0.38305941845764857,0.3425336417816813,0.42581110981716547,0.947314262193867,0.9394567696454489,0.9545559973694427,0.5420393559928444,0.49118301161311995,0.5896567135063224,0.9041445688469849,0.8937625998178895,0.9138715190156569,303,256,488,4603,False
With Symptoms,Neural Network,0.5,396,7.008849557522123,0.29329962073324906,0.2557839879476002,0.33247581354441513,0.966248199217946,0.9596971394457002,0.9719566082063629,0.5858585858585859,0.5286296875000001,0.6397903225806452,0.8936048724781119,0.8827515280109853,0.9043654424656536,232,164,559,4695,False
Virtual Maximum,XGBoost,0.1,2372,41.982300884955755,0.8242730720606827,0.7905351353627216,0.8542228008646884,0.6460176991150443,0.6282592933746812,0.6618367955510116,0.2748735244519393,0.25214471182379705,0.2958161451876165,0.9575960951799878,0.9491871722678891,0.9655816454113528,652,1720,139,3139,False
Virtual Maximum,XGBoost,0.123,2033,35.982300884955755,0.7737041719342604,0.7368403648008911,0.8064112903225806,0.7075529944433011,0.690961924681445,0.7229513616232686,0.3010329562223315,0.27543571084744695,0.32376355492692127,0.9505114735969035,0.9418324790371688,0.958402062583109,612,1421,179,3438,True
Virtual Maximum,XGBoost,0.15,1689,29.89380530973451,0.7041719342604298,0.6680250530307112,0.7407861029315637,0.7670302531385058,0.7517526472397726,0.7811682931606388,0.32978093546477205,0.30280449424983086,0.35579072713377025,0.940924009088614,0.9320418733094109,0.9493175520349869,557,1132,234,3727,False
Virtual Maximum,XGBoost,0.2,1238,21.911504424778762,0.606826801517067,0.5687521262324124,0.6476903375408579,0.8440008232146532,0.8301254372263446,0.8560966389386602,0.3877221324717286,0.3546138195004029,0.4189367785608559,0.9295104261106074,0.919737526830769,0.9384989858497926,480,758,311,4101,False
Virtual Maximum,XGBoost,0.25,930,16.460176991150444,0.5233881163084703,0.48330661765888655,0.5640400949545125,0.8938053097345132,0.8832124353805363,0.9043113779584903,0.44516129032258067,0.4082937926063846,0.48116644388980234,0.9201271186440678,0.91047052150187,0.9289385875369519,414,516,377,4343,False
Virtual Maximum,XGBoost,0.3,717,12.690265486725663,0.4424778761061947,0.40131059687444354,0.4814379718424811,0.9244700555669891,0.9148786003690629,0.9329094702476168,0.4881450488145049,0.4430470591702027,0.5267852914090252,0.9106020677072775,0.9002827222206455,0.9201229723136467,350,367,441,4492,False
Virtual Maximum,XGBoost,0.4,435,7.6991150442477885,0.3109987357774968,0.27182901341301685,0.3508176523297491,0.9611031076353159,0.9543405809018437,0.9670651438097683,0.5655172413793104,0.5111570268250473,0.6157681947832714,0.8954937679769894,0.8846719197615901,0.9053224910122466,246,189,545,4670,False
Virtual Maximum,XGBoost,0.5,275,4.867256637168142,0.21618204804045513,0.1820541491788854,0.25060973236009737,0.9785964190162585,0.9734038469914414,0.9830220578051694,0.6218181818181818,0.5546992308198014,0.6818347710683477,0.8846511627906977,0.8738391846957425,0.8945628175759639,171,104,620,4755,False
